run,group,largest_update,population,genotypes,total_weighted_instructions,instruction_symbol,instruction_name,weighted_count,proportion,detail_spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,q,sub,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,r,nand,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,s,repro,400,0.023529411764705882,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,t,repro-semel,70,0.00411764705882353,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,u,move,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,v,rotate-left-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,w,rotate-right-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,x,sense-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,y,sense-faced-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,a,nop-B,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,b,nop-C,16233,0.9720359281437125,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,c,if-n-equ,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,d,if-less,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,e,if-not-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,f,if-les-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,g,if-grt-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,h,if-label,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,i,zero,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
